a,b,a_flavors,b_flavors,compatibility
garlic,garlic,bland@new mown hay@prune@powdery@ether@citrus@odorless@butterscotch@bitter@ethereal@sulfur@strong@berry@garlic@roast beef@sulfurous@cabbage@leafy@roasted@sour@nutty@vanilla@oil@peppery@potato@carnation@tobacco@honeysuckle@cherry@apple@spice@minty@mint@camphoraceous@hawthorne@balsamic@solvent@floral@herbal@burnt@butter@storax@vegetable@green@almond@mustard@peach@orange@musty@lemon@magnolia@phenolic@smoke@roast@grassy@shrimp@rose@malt@rubber@moss@pineapple@brown@acidic@woody@balsam@mild,bland@new mown hay@prune@powdery@ether@citrus@odorless@butterscotch@bitter@ethereal@sulfur@strong@berry@garlic@roast beef@sulfurous@cabbage@leafy@roasted@sour@nutty@vanilla@oil@peppery@potato@carnation@tobacco@honeysuckle@cherry@apple@spice@minty@mint@camphoraceous@hawthorne@balsamic@solvent@floral@herbal@burnt@butter@storax@vegetable@green@almond@mustard@peach@orange@musty@lemon@magnolia@phenolic@smoke@roast@grassy@shrimp@rose@malt@rubber@moss@pineapple@brown@acidic@woody@balsam@mild,1
garlic,salt,bland@new mown hay@prune@powdery@ether@citrus@odorless@butterscotch@bitter@ethereal@sulfur@strong@berry@garlic@roast beef@sulfurous@cabbage@leafy@roasted@sour@nutty@vanilla@oil@peppery@potato@carnation@tobacco@honeysuckle@cherry@apple@spice@minty@mint@camphoraceous@hawthorne@balsamic@solvent@floral@herbal@burnt@butter@storax@vegetable@green@almond@mustard@peach@orange@musty@lemon@magnolia@phenolic@smoke@roast@grassy@shrimp@rose@malt@rubber@moss@pineapple@brown@acidic@woody@balsam@mild,bitter@sour@grassy,0.4762645914396887
garlic,olive oil,bland@new mown hay@prune@powdery@ether@citrus@odorless@butterscotch@bitter@ethereal@sulfur@strong@berry@garlic@roast beef@sulfurous@cabbage@leafy@roasted@sour@nutty@vanilla@oil@peppery@potato@carnation@tobacco@honeysuckle@cherry@apple@spice@minty@mint@camphoraceous@hawthorne@balsamic@solvent@floral@herbal@burnt@butter@storax@vegetable@green@almond@mustard@peach@orange@musty@lemon@magnolia@phenolic@smoke@roast@grassy@shrimp@rose@malt@rubber@moss@pineapple@brown@acidic@woody@balsam@mild,,0.49155900768803995
garlic,tomato,bland@new mown hay@prune@powdery@ether@citrus@odorless@butterscotch@bitter@ethereal@sulfur@strong@berry@garlic@roast beef@sulfurous@cabbage@leafy@roasted@sour@nutty@vanilla@oil@peppery@potato@carnation@tobacco@honeysuckle@cherry@apple@spice@minty@mint@camphoraceous@hawthorne@balsamic@solvent@floral@herbal@burnt@butter@storax@vegetable@green@almond@mustard@peach@orange@musty@lemon@magnolia@phenolic@smoke@roast@grassy@shrimp@rose@malt@rubber@moss@pineapple@brown@acidic@woody@balsam@mild,hop_oil@peach@new mown hay@bitter@musty@citrus@sulfurous@prune@wood@lemon@cherry@solvent@wax@caramel@wasabi@powdery@ether@apple@fatty@rancid@earthy@odorless@soap@butterscotch@magnolia@phenolic@pungent@sulfur@oil@strong@berry@egg@tobacco@grassy@nut@acetone@leafy@potato@chocolate@floral@sour@benzaldehyde@raw@phenol@caramellic@shrimp@lactonic@roast beef@herbal@spice@acrylic@sweet@rose@roasted@burnt@coconut@nutty@banana peel@vanilla@mint@flower@resinous@butter@peppery@mustard@orange@oily@violet@carnation@bland@mild@neroli@cooling@honeysuckle@malt@unpleasant@ammonia@hawthorne@bready@minty@rubber@cheesy@medical@fat@camphoraceous@pineapple@alkane@moss@lard@balsamic@lavender@ethereal@fragrant@brown@hazelnut@alcoholic@oriental@harsh@watercress@curry@waxy@acidic@woody@storax@wine@geranium@almond@flat@spicy@balsam@cultured dairy,0.4192487185372198
garlic,parmesan,bland@new mown hay@prune@powdery@ether@citrus@odorless@butterscotch@bitter@ethereal@sulfur@strong@berry@garlic@roast beef@sulfurous@cabbage@leafy@roasted@sour@nutty@vanilla@oil@peppery@potato@carnation@tobacco@honeysuckle@cherry@apple@spice@minty@mint@camphoraceous@hawthorne@balsamic@solvent@floral@herbal@burnt@butter@storax@vegetable@green@almond@mustard@peach@orange@musty@lemon@magnolia@phenolic@smoke@roast@grassy@shrimp@rose@malt@rubber@moss@pineapple@brown@acidic@woody@balsam@mild,hop_oil@peach@fat@apple@berry@musty@herbal@balsamic@sulfurous@solvent@pungent@naphthyl@ether@fresh@ethereal@rancid@earthy@fruity@soap@hazelnut@odorless@acetophenone@sulfur@oil@leafy@sour@fatty@orange@lemon@acetone@sweaty@pineapple@waxy@roast beef@acrylic@cooling@burnt@coconut@alcoholic@nutty@spice@brandy@citrus@phenol@green@tobacco@fermented@roast@tutti frutti@malt@unpleasant@ammonia@hawthorne@lard@bready@truffle@citrus peel@raw@potato@butter@magnolia@strong@strawberry@cheesy@caramel@rubber@rose@dairy@cabbage@faint@must@peppery@yeast@woody@wine@flat@mild@cultured dairy,0.33770416379112034
garlic,onion,bland@new mown hay@prune@powdery@ether@citrus@odorless@butterscotch@bitter@ethereal@sulfur@strong@berry@garlic@roast beef@sulfurous@cabbage@leafy@roasted@sour@nutty@vanilla@oil@peppery@potato@carnation@tobacco@honeysuckle@cherry@apple@spice@minty@mint@camphoraceous@hawthorne@balsamic@solvent@floral@herbal@burnt@butter@storax@vegetable@green@almond@mustard@peach@orange@musty@lemon@magnolia@phenolic@smoke@roast@grassy@shrimp@rose@malt@rubber@moss@pineapple@brown@acidic@woody@balsam@mild,new mown hay@onion@prune@caramel@powdery@naphthyl@ether@citrus@odorless@butterscotch@bitter@ethereal@sulfur@sour@strong@berry@nut@garlic@caramellic@cabbage@leafy@roasted@spice@nutty@vanilla@oil@peppery@sulfurous@carnation@bland@tobacco@honeysuckle@apple@minty@cheesy@mint@cream@coconut@camphoraceous@hawthorne@balsamic@solvent@waxy@watercress@floral@cherry@herbal@burnt@butter@fatty@storax@almond@mustard@peach@orange@musty@lemon@soap@magnolia@phenolic@smoke@egg@grassy@acidic@shrimp@rose@alcoholic@phenol@malt@earthy@rubber@potato@moss@acetic@pineapple@vegetable@fragrant@brown@horseradish@radish@woody@balsam@grass,0.34826875681790637
garlic,pepper,bland@new mown hay@prune@powdery@ether@citrus@odorless@butterscotch@bitter@ethereal@sulfur@strong@berry@garlic@roast beef@sulfurous@cabbage@leafy@roasted@sour@nutty@vanilla@oil@peppery@potato@carnation@tobacco@honeysuckle@cherry@apple@spice@minty@mint@camphoraceous@hawthorne@balsamic@solvent@floral@herbal@burnt@butter@storax@vegetable@green@almond@mustard@peach@orange@musty@lemon@magnolia@phenolic@smoke@roast@grassy@shrimp@rose@malt@rubber@moss@pineapple@brown@acidic@woody@balsam@mild,new mown hay@herbal@prune@minty@wood@ether@strawberry@citrus@waxy@odorless@butterscotch@bitter@sulfur@clove@strong@soft@berry@fresh@lemon@alkane@spicy@spice@leafy@coconut@roasted@sour@nutty@woody@vanilla@oil@resinous@powdery@peppery@orange@fatty@carnation@bland@mint@tobacco@honeysuckle@apple@hawthorne@peach@must@camphoraceous@balsamic@solvent@lime@fruity@floral@cherry@burnt@butter@storax@almond@wax@musty@sulfurous@cooling@magnolia@phenolic@fir needle@caraway@grassy@shrimp@sweet@rose@warm@mustard@alkaline@pepper@malt@licorice@herb@rubber@potato@terpene@moss@pineapple@ethereal@balsam@brown@harsh@acidic@pungent@styrene,0.307500703065365
garlic,basil,bland@new mown hay@prune@powdery@ether@citrus@odorless@butterscotch@bitter@ethereal@sulfur@strong@berry@garlic@roast beef@sulfurous@cabbage@leafy@roasted@sour@nutty@vanilla@oil@peppery@potato@carnation@tobacco@honeysuckle@cherry@apple@spice@minty@mint@camphoraceous@hawthorne@balsamic@solvent@floral@herbal@burnt@butter@storax@vegetable@green@almond@mustard@peach@orange@musty@lemon@magnolia@phenolic@smoke@roast@grassy@shrimp@rose@malt@rubber@moss@pineapple@brown@acidic@woody@balsam@mild,new mown hay@herbal@prune@powdery@wood@ether@strawberry@citrus@camphor@odorless@butterscotch@bitter@smoky@sulfur@clove@strong@peach@berry@jasmin@lemon@spicy@phenol@vanilla@spice@acrylic@leafy@apple@roasted@floral@burnt@sour@nutty@woody@oil@resinous@peppery@carnation@violet@bland@mint@tobacco@honeysuckle@minty@raw@must@camphoraceous@oily@hawthorne@balsamic@solvent@fruity@fresh@cherry@butter@storax@cedar@sweat@anise@fir@almond@wax@orange@musty@sulfurous@sweet@earthy@magnolia@phenolic@fir needle@grassy@shrimp@rose@mustard@wine@cooling@malt@licorice@rubber@potato@fatty@moss@pineapple@ethereal@balsam@fragrant@brown@harsh@acidic,0.30427844388855346
garlic,parsley,bland@new mown hay@prune@powdery@ether@citrus@odorless@butterscotch@bitter@ethereal@sulfur@strong@berry@garlic@roast beef@sulfurous@cabbage@leafy@roasted@sour@nutty@vanilla@oil@peppery@potato@carnation@tobacco@honeysuckle@cherry@apple@spice@minty@mint@camphoraceous@hawthorne@balsamic@solvent@floral@herbal@burnt@butter@storax@vegetable@green@almond@mustard@peach@orange@musty@lemon@magnolia@phenolic@smoke@roast@grassy@shrimp@rose@malt@rubber@moss@pineapple@brown@acidic@woody@balsam@mild,new mown hay@herbal@prune@powdery@minty@wood@ether@citrus@odorless@butterscotch@bitter@plastic@sulfur@strong@berry@lemon@paint@pleasant@caramellic@spice@leafy@roasted@sour@nutty@vanilla@oil@resinous@peppery@caraway@carnation@bland@tobacco@honeysuckle@apple@hawthorne@mint@citrus peel@must@camphoraceous@balsamic@solvent@lime@floral@cherry@burnt@butter@storax@almond@wax@peach@orange@flower@musty@sulfurous@magnolia@phenolic@fir needle@grassy@shrimp@rose@mustard@parsley@woody@malt@licorice@rubber@potato@moss@pineapple@ethereal@brown@balsam@harsh@caramel@acidic@spicy@styrene,0.24509676581374204
garlic,butter,bland@new mown hay@prune@powdery@ether@citrus@odorless@butterscotch@bitter@ethereal@sulfur@strong@berry@garlic@roast beef@sulfurous@cabbage@leafy@roasted@sour@nutty@vanilla@oil@peppery@potato@carnation@tobacco@honeysuckle@cherry@apple@spice@minty@mint@camphoraceous@hawthorne@balsamic@solvent@floral@herbal@burnt@butter@storax@vegetable@green@almond@mustard@peach@orange@musty@lemon@magnolia@phenolic@smoke@roast@grassy@shrimp@rose@malt@rubber@moss@pineapple@brown@acidic@woody@balsam@mild,nutty@peach@citrus@balsamic@prune@apricot@ether@fresh@ethereal@rancid@soap@butter@oil@leafy@sour@caramel@fatty@grassy@orange@potato@coconut@balsam@bitter@burnt@spice@vanilla@truffle@phenol@peppery@sulfur@pineapple@bland@tobacco@cooling@smoke@malt@waxy@apple@bready@minty@rubber@roast beef@citrus peel@lemon@strawberry@cream@mint@cheesy@jasmin@lard@solvent@vegetable@very strong@hazelnut@alcoholic@butterscotch@nut@buttery@sweet@cultured dairy,0.14490486257928117
